"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Nr okręgu";"Liczba komisji";"Liczba uwzględnionych komisji";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba wyborców, którym wydano karty do głosowania w lokalu wyborczym oraz w głosowaniu korespondencyjnym (łącznie)";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KOMITET WYBORCZY NOWA LEWICA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"KOMITET WYBORCZY POLSKA JEST JEDNA";"KOMITET WYBORCZY WYBORCÓW RUCHU DOBROBYTU I POKOJU";"KOMITET WYBORCZY NORMALNY KRAJ";"KOMITET WYBORCZY ANTYPARTIA";"KOMITET WYBORCZY RUCH NAPRAWY POLSKI";"KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA"
;"Rosja";"zagranica";;19;1;1;200;164;54;146;0;146;0;4;0;0;0;0;0;0;146;0;0;146;1;1;0;0;145;4;14;15;36;7;60;9;;;;;
;"Arabia Saudyjska";"zagranica";;19;1;1;254;205;70;184;0;184;0;11;0;0;0;0;0;0;184;0;0;184;4;3;1;0;180;6;33;22;7;7;104;1;;;;;
;"Senegal";"zagranica";;19;1;1;70;43;34;36;0;36;0;4;0;0;0;0;0;0;36;0;0;36;0;0;0;0;36;0;4;2;10;1;19;0;;;;;
;"Serbia";"zagranica";;19;1;1;200;197;14;186;0;186;0;20;0;0;0;0;0;0;186;0;0;186;3;2;1;0;183;2;18;38;11;19;92;3;;;;;
;"Singapur";"zagranica";;19;1;1;648;647;42;606;0;606;0;31;0;0;0;0;0;0;606;0;0;606;4;1;3;0;602;3;88;106;33;38;331;3;;;;;
;"Słowacja";"zagranica";;19;1;1;700;627;102;597;0;597;0;55;0;0;0;0;0;0;598;0;0;598;2;1;1;0;596;6;85;80;89;62;268;6;;;;;
;"Wietnam";"zagranica";;19;2;2;999;566;472;527;0;527;0;37;0;0;0;0;0;0;527;0;0;527;6;3;3;0;521;10;77;131;20;27;255;1;;;;;
;"Słowenia";"zagranica";;19;1;1;550;530;45;505;0;505;0;118;0;0;0;0;0;0;505;0;0;505;1;0;1;0;504;10;73;113;66;30;200;12;;;;;
;"Południowa Afryka";"zagranica";;19;2;2;590;514;113;477;0;477;0;28;0;0;0;0;0;0;477;0;0;477;6;5;1;0;471;3;28;44;83;30;268;15;;;;;
;"Hiszpania";"zagranica";;19;15;15;43475;27683;18268;25210;0;25210;0;3939;0;0;0;0;0;0;25205;0;9;25196;127;53;74;0;25069;228;3766;4753;1968;1245;12893;216;;;;;
;"Szwecja";"zagranica";;19;5;5;17884;15473;3984;13900;0;13900;0;476;0;0;0;0;0;0;13866;0;4;13862;110;60;50;0;13752;131;1687;2175;2150;1195;6222;192;;;;;
;"Szwajcaria";"zagranica";;19;6;6;15356;14103;2343;13012;0;13012;0;443;0;0;0;0;0;0;13004;0;2;13002;73;46;27;0;12929;162;1843;2215;1430;1302;5783;194;;;;;
;"Tajlandia";"zagranica";;19;1;1;800;678;217;583;0;583;0;80;0;0;0;0;0;0;583;0;0;583;1;1;0;0;582;5;87;152;25;43;269;1;;;;;
;"Zjednoczone Emiraty Arabskie";"zagranica";;19;2;2;4232;2507;1881;2351;0;2351;0;162;0;0;0;0;0;0;2351;0;0;2351;8;3;5;0;2343;20;332;334;144;166;1327;20;;;;;
;"Tunezja";"zagranica";;19;1;1;700;465;297;403;0;403;0;88;0;0;0;0;0;0;403;0;0;403;4;3;1;0;399;1;51;69;32;15;227;4;;;;;
;"Turcja";"zagranica";;19;4;4;5100;4852;1369;3731;0;3731;0;1005;0;0;0;0;0;0;3728;0;1;3727;27;13;14;0;3700;49;601;499;398;224;1887;42;;;;;
;"Macedonia Północna";"zagranica";;19;1;1;198;143;63;135;0;135;0;26;0;0;0;0;0;0;135;0;0;135;2;0;2;0;133;5;12;33;21;9;52;1;;;;;
;"Egipt";"zagranica";;19;2;2;2800;1746;1268;1532;0;1532;0;296;0;0;0;0;0;0;1531;0;0;1531;14;4;10;0;1517;25;230;206;114;96;833;13;;;;;
;"Wielka Brytania";"zagranica";;19;77;77;191317;163321;44985;146285;0;146285;0;2565;0;0;0;0;0;0;146207;0;97;146110;1719;594;1125;0;144391;1756;17758;20178;19610;15103;67289;2697;;;;;
;"Tanzania";"zagranica";;19;1;1;230;197;83;147;0;147;0;11;0;0;0;0;0;0;147;0;0;147;1;0;1;0;146;0;16;29;17;3;80;1;;;;;
;"Stany Zjednoczone";"zagranica";;19;52;52;61021;48853;16906;44114;0;44114;0;1258;0;0;0;0;0;0;44108;0;9;44099;497;272;225;0;43602;200;3633;2888;17475;2604;15514;1288;;;;;
;"Uzbekistan";"zagranica";;19;1;1;120;80;44;76;0;76;0;14;0;0;0;0;0;0;76;0;0;76;0;0;0;0;76;0;7;7;23;8;29;2;;;;;
;"Wenezuela";"zagranica";;19;1;1;60;44;20;40;0;40;0;1;0;0;0;0;0;0;40;0;0;40;3;3;0;0;37;2;3;1;6;7;17;1;;;;;
20101;"m. Bolesławiec";"bolesławiecki";"dolnośląskie";1;24;24;26733;28421;6070;20660;11;20671;45;303;8;0;0;0;0;8;20667;8;16;20651;354;184;170;0;20297;869;2338;2035;5807;1254;7695;299;;;;;
20102;"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";1;21;21;10464;11238;2287;8175;4;8179;10;68;4;1;0;0;0;3;8178;3;0;8178;154;80;74;0;8024;354;1091;650;2687;662;2436;144;;;;;
20103;"gm. Gromadka";"bolesławiecki";"dolnośląskie";1;6;6;3766;4048;1070;2696;2;2698;9;20;2;0;0;0;0;2;2697;2;0;2697;86;45;41;0;2611;77;210;208;1161;194;623;138;;;;;
20104;"gm. Nowogrodziec";"bolesławiecki";"dolnośląskie";1;14;14;10457;11166;3134;7323;3;7326;21;60;3;0;0;0;0;3;7326;3;1;7325;214;137;77;0;7111;271;902;585;3056;652;1517;128;;;;;
20105;"gm. Osiecznica";"bolesławiecki";"dolnośląskie";1;7;7;4777;5162;1444;3333;2;3335;3;32;2;0;0;0;0;2;3335;2;0;3335;95;64;31;0;3240;112;375;300;1133;301;946;73;;;;;
20106;"gm. Warta Bolesławiecka";"bolesławiecki";"dolnośląskie";1;10;10;5857;6359;1532;4326;2;4328;3;20;2;0;0;0;0;2;4329;2;5;4324;128;72;56;0;4196;220;423;368;1621;362;1112;90;;;;;
20201;"m. Bielawa";"dzierżoniowski";"dolnośląskie";2;22;22;20409;21858;5631;14777;6;14783;48;122;5;1;0;0;0;4;14779;4;4;14775;253;165;88;0;14522;255;1881;1381;4841;992;4930;242;;;;;
20202;"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";2;23;23;22277;23803;5405;16861;34;16895;37;115;33;2;0;0;1;30;16892;30;3;16889;270;149;121;0;16619;234;1947;1245;5458;1107;6337;291;;;;;
20203;"gm. Pieszyce";"dzierżoniowski";"dolnośląskie";2;10;10;6501;6930;2026;4472;0;4472;10;42;0;0;0;0;0;0;4475;0;6;4469;120;84;36;0;4349;100;486;268;1583;325;1442;145;;;;;
20204;"m. Piława Górna";"dzierżoniowski";"dolnośląskie";2;3;3;4261;4527;1350;2911;5;2916;9;11;5;1;0;0;0;4;2915;4;0;2915;78;54;24;0;2837;55;399;206;1126;215;789;47;;;;;
20205;"gm. Dzierżoniów";"dzierżoniowski";"dolnośląskie";2;15;15;6563;7047;1518;5045;3;5048;7;30;1;0;0;0;0;1;5044;1;0;5044;131;87;44;0;4913;81;514;252;1905;416;1644;101;;;;;
20206;"gm. Łagiewniki";"dzierżoniowski";"dolnośląskie";2;10;10;5270;5806;1139;4131;0;4131;6;85;0;0;0;0;0;0;4131;0;0;4131;81;56;25;0;4050;82;514;252;1873;333;949;47;;;;;
20207;"gm. Niemcza";"dzierżoniowski";"dolnośląskie";2;7;7;3800;4071;1121;2679;0;2679;9;28;0;0;0;0;0;0;2679;0;0;2679;102;73;29;0;2577;62;300;193;1079;194;720;29;;;;;
20301;"m. Głogów";"głogowski";"dolnośląskie";1;36;36;46151;47495;11272;34888;14;34902;43;498;14;1;0;1;3;9;34883;9;6;34877;542;317;225;0;34335;677;3132;3235;12243;2011;12580;457;;;;;
20302;"gm. Głogów";"głogowski";"dolnośląskie";1;4;4;5162;5293;1106;4056;1;4057;8;60;1;0;0;0;0;1;4057;1;0;4057;65;36;29;0;3992;97;411;292;1608;280;1262;42;;;;;
20303;"gm. Jerzmanowa";"głogowski";"dolnośląskie";1;7;7;3994;4147;699;3295;1;3296;6;35;1;0;0;0;0;1;3296;1;0;3296;59;34;25;0;3237;57;468;297;1107;240;1016;52;;;;;
20304;"gm. Kotla";"głogowski";"dolnośląskie";1;5;5;3106;3311;807;2297;1;2298;4;27;1;0;0;1;0;0;2299;0;0;2299;69;35;34;0;2230;46;95;91;940;123;913;22;;;;;
20305;"gm. Pęcław";"głogowski";"dolnośląskie";1;3;3;1512;1610;404;1107;1;1108;1;13;1;0;0;0;0;1;1109;1;0;1109;36;24;12;0;1073;29;155;47;565;76;192;9;;;;;
20306;"gm. Żukowice";"głogowski";"dolnośląskie";1;2;2;2389;2554;606;1783;0;1783;6;11;0;0;0;0;0;0;1783;0;0;1783;46;30;16;0;1737;55;156;158;749;121;471;27;;;;;
20401;"gm. Góra";"górowski";"dolnośląskie";3;13;13;13327;14205;4009;9318;4;9322;9;132;4;0;1;0;0;3;9321;3;2;9319;176;100;76;0;9143;392;1279;971;3265;585;2534;117;;;;;
20402;"gm. Jemielno";"górowski";"dolnośląskie";3;4;4;2051;2197;644;1407;0;1407;4;20;0;0;0;0;0;0;1406;0;0;1406;46;27;19;0;1360;51;141;146;682;104;202;34;;;;;
20403;"gm. Niechlów";"górowski";"dolnośląskie";3;4;4;3360;3530;1100;2248;0;2248;1;22;0;0;0;0;0;0;2247;0;2;2245;81;52;29;0;2164;139;205;193;1122;166;296;43;;;;;
20404;"gm. Wąsosz";"górowski";"dolnośląskie";3;8;8;5000;5405;1435;3565;2;3567;16;32;2;0;0;0;0;2;3562;2;0;3562;137;85;52;0;3425;124;406;313;1409;268;856;49;;;;;
20501;"m. Jawor";"jaworski";"dolnośląskie";1;14;14;15623;16564;3985;11638;6;11644;20;215;6;0;0;0;0;6;11643;6;4;11639;170;92;78;0;11469;287;1060;1308;4459;614;3628;113;;;;;
20502;"gm. Bolków";"jaworski";"dolnośląskie";1;14;14;7199;7678;2282;4915;2;4917;16;55;2;0;0;0;0;2;4918;2;4;4914;158;103;55;0;4756;133;520;485;1842;299;1429;48;;;;;
20503;"gm. Męcinka";"jaworski";"dolnośląskie";1;10;10;3660;3936;851;2810;1;2811;5;55;1;0;0;0;0;1;2811;1;1;2810;55;32;23;0;2755;63;277;218;1351;189;624;33;;;;;
20504;"gm. Mściwojów";"jaworski";"dolnośląskie";1;3;3;2809;2994;785;2024;0;2024;8;13;0;0;0;0;0;0;2024;0;0;2024;48;34;14;0;1976;61;258;156;785;125;563;28;;;;;
20505;"gm. Paszowice";"jaworski";"dolnośląskie";1;3;3;2943;3154;760;2181;1;2182;8;13;1;0;0;0;0;1;2183;1;1;2182;42;25;17;0;2140;54;276;194;903;165;520;28;;;;;
20506;"gm. Wądroże Wielkie";"jaworski";"dolnośląskie";1;3;3;2853;3064;761;2092;0;2092;13;43;0;0;0;0;0;0;2091;0;0;2091;47;25;22;0;2044;46;405;146;799;137;486;25;;;;;
20601;"m. Karpacz";"karkonoski";"dolnośląskie";1;6;6;4836;4996;934;3901;1;3902;2;885;1;0;0;0;0;1;3901;1;1;3900;48;22;26;0;3852;95;458;379;815;198;1864;43;;;;;
20602;"m. Kowary";"karkonoski";"dolnośląskie";1;9;9;7340;7678;2129;5212;3;5215;12;102;3;1;0;0;0;2;5218;2;4;5214;79;51;28;0;5135;112;556;521;1389;246;2129;182;;;;;
